Client Name,Code,Loaded on 
Atellis Inc. dba B-Line Medical,060A8180,1/31/2019
"THG Companies, LLC",028T4084,1/29/2019
"Yakabod, Inc.",058Y6674,1/29/2019
Gramophone LTD,027G8331,1/23/2019
"Crosby Marketing Communications, Inc.",009C4777,1/16/2019
Pioneer Building Services,020P8060,1/15/2019
"Nutramax Laboratories, Inc. Health & Welfare Plan",558N0174,1/14/2019
"IndraSoft, Inc",840I2520,1/11/2019
Main Electric Supply Company LLC,010M0530,12/28/2018
MZQ Consulting LLC,002M1506,12/28/2018
Confidio,044C6132,12/27/2018
InterWorks LLC ,016I5048,12/27/2018
Sample Company,compass,12/20/2018
"Kolmac Clinic, LLC",968K8904,12/14/2018
"Oriente Triangle Latin America, Inc.",014O3542,12/14/2018
Baltimore Tank Lines (Non-Union),036B0108,12/12/2018
Baltimore Tank Lines (Union- Drivers),037B5861,12/12/2018
"Populus Group, LLC.",013P7789,12/12/2018
"L2M, Inc",567L1951,12/10/2018
"The Hirschel Group, P.C.",017T0801,12/5/2018
"Cognitive Professional Services, Inc",032C7096,12/4/2018
Gilbert Foods LLC t.a Hearn Kirkwood ,031G1343,11/30/2018
"Nationwide IT Services, Inc.",025N6825,11/29/2018
Qualitas Insurance Group,021Q3813,11/14/2018
"Axle Informatics, LLC",012A2036,11/12/2018
The Bozzuto Group ,096T2288,11/8/2018
Enterprise Community Partners,189E7317,11/6/2018
ConnectYourCare,731C5443,11/2/2018
"St. Vincent de Paul of Baltimore, Inc",005S1765,10/31/2018
H2 Hospitalist Group,015H9295,10/30/2018
"Superior Auto Care, LLC",938S6314,10/30/2018
United Needs & Abilities,986U2458,10/24/2018
Jellyfish,855J8815,10/19/2018
Parks & People Foundation,995P4235,10/19/2018
St. Paul & Biddle Medical Associates,997S5741,10/18/2018
Nexus Health,785N6105,10/16/2018
"Sterne, Kessler, Goldstein & Fox P.L.L.C.",017S7801,10/12/2018
Jacksonville Veterinary Hospital,696J4088,10/9/2018
Nickle Electrical Companies,947N8091,10/9/2018
Calvert School,001C8753,10/5/2018
Defense Point Security LLC,945D6585,10/5/2018
Advanced Asthma & Allergy Centers,975A9175,10/2/2018
"KDP Investments, LLC",769K4057,10/2/2018
"Nuvera, LLC",000N3000,10/1/2018
Nucar Connection,151N8703,9/28/2018
"Abrams Development Group, Inc.",994A8482,9/27/2018
"Coakley & Williams Construction, Inc.",944C0832,9/27/2018
"MORI Associates, Inc.",842M4026,9/25/2018
"Bimax, Inc. Health & Welfare Plan",003B0259,9/20/2018
"Phoenix Operations Group, LLC",654P2462,9/20/2018
"Arundel Gas & Water Conditioning Company, Inc.",987A8211,9/17/2018
"OMNITEC Solutions, Inc.",981O3693,9/14/2018
Jones Junction,034J5602,9/13/2018
"Caroline Center, Inc",991C1223,9/12/2018
Green Leaf Management LLC,979G2187,9/12/2018
Groundbreaking Designs LLC,988G3964,9/12/2018
National 4-H Council,982N9446,9/12/2018
Helping Up Mission,983H5199,8/14/2018
Lundberg Builders,862L9086,8/1/2018
Martin Greenbaum,448M7344,8/1/2018
"Weller Development Company, LLC",903W4959,8/1/2018
"Veritas Partners, LLC",919V7007,7/31/2018
"Bry's Lawn Care and Landscaping, LLC",969B4657,7/27/2018
Fawn Industries,971F6163,7/27/2018
kern,642K3426,7/19/2018
Conveyor Handling Company,524C4572,7/5/2018
IntelliWare Systems,762I3786,7/5/2018
Affiliated Santé Group,863A4839,7/3/2018
Leesburg Veterinary Services,960L2880,6/25/2018
"Banner & Witcoff, LTD.",262B7286,6/20/2018
The Data Entry Company,942T9326,6/20/2018
"CTG, Inc",961C8633,6/6/2018
"Compassionate Wellness Center, LLC.",941C3573,5/25/2018
Washington Plastic Surgery Group,931W6043,5/14/2018
Dataprise Inc,950D5350,5/11/2018
Plaza Ford,893P7429,5/10/2018
"HeiTech Services, Inc",952H6856,5/3/2018
G&G Outfitters,875G3875,5/2/2018
Blue Harbor Benefits,957B5621,4/30/2018
Hirsch Electric LLC,305H4665,4/17/2018
"Belfint, Lyons & Shuman, P.A.",940B7820,3/23/2018
"Tavares Village Retirement Community, LLC",939T2067,3/7/2018
"Windsor Electric Co, Inc",930W0290,2/5/2018
"Depository Trust Company of Delaware, LLC",929D4537,2/1/2018
"Nteligen, LLC",921N8513,2/1/2018
MZQ Consulting LLC,DEMOMZQ,12/14/2017
Calvert Systems,308C1924,11/27/2017
Thompson Gas,816T4448,11/21/2017
Emergent Space Technologies,880E2640,10/28/2017
